acid,bp488001,
PI399057,3,8
PI399058,2,8
PI399059,2,8
PI399060,3,8
PI399061,3,8
PI399062,4,8
PI399064,3,8
PI399065,4,8
PI399067,3,8
PI399071,2,8
PI399075,1,8
PI399076,1,8
PI399078,1,8
PI399081,2,8
PI399082,2,8
PI399083,1,8
PI399084,1,8
PI399085,1,8
PI399086,2,8
PI399087,2,8
PI399088,1,8
PI399089,2,8
PI399090,2,8
PI399095,3,8
PI399096,3,8
PI399097,3,8
PI399098,3,8
PI399099,2,8
PI399100,2,8
PI399101,1,8
PI399102,2,8
PI399103,2,8
PI399104,2,8
PI399105,2,8
PI399107,3,8
PI399108,3,8
PI399109,2,8
PI399110,3,8
PI399111,3,8
PI399113,3,8
PI399114,2,8
PI399115,2,8
PI399116,2,8
PI399117,2,8
PI399118,1,8
PI399120,2,8
PI399121,1,8
PI399122,3,8
PI399123,2,8
PI399124,2,8
PI399125,2,8
PI399126,2,8
PI407737,2,8
PI407738,1,8
PI407739,2,8
PI407742,1,8
PI407743,2,8
PI407744,1,8
PI407747,2,8
PI407748,1,8
PI407749,2,8
PI407750,2,8
PI407751,1,8
PI407752,2,8
PI407753,1,8
PI407755,2,8
PI407756,2,8
PI407757,1,8
PI407758,2,8
PI407759,2,8
PI407761,1,8
PI407762,1,8
PI407763,1,8
PI407764,1,8
PI407765,1,8
PI407766,2,8
PI407769,2,8
PI407771,1,8
PI407774,1,8
PI407775,1,8
PI407777,2,8
PI407779,1,8
PI407781C,1,9
PI407784,1,8
PI407785,1,8
PI407786B,4,9
PI407787,1,8
PI407788C,3,9
PI407789,1,8
PI407790-1,2,10
PI407790-2,1,10
PI407791,2,8
PI407792,2,8
PI407793,1,8
PI407794,1,8
PI407797,1,8
PI407798,1,8
PI407799,2,8
PI407800,1,8
PI407801,1,8
PI407802,1,8
PI407803,1,8
PI407804,1,8
PI407807,1,8
PI407808-1,1,10
PI407808-2,1,10
PI407809,1,8
PI407811,1,8
PI407813,1,8
PI407814-1,1,10
PI407814-2,1,10
PI407815,2,8
PI407816,1,8
PI407819,1,8
PI407821B,2,9
PI407822,2,8
PI407824,1,8
PI407825,4,8
PI407826,3,8
PI407830,2,8
PI407833B,5,9
PI407833C,2,9
PI407834,2,8
PI407835,2,8
PI407836,1,8
PI407837,1,8
PI407838,1,8
PI407839-1,1,10
PI407839-2,1,10
PI407840,1,8
PI407841,1,8
PI407842,1,8
PI407843,1,8
PI407844,1,8
PI407846,1,8
PI407852,1,8
PI407853,1,8
PI407854,1,8
PI407855,1,8
PI407856,1,8
PI407857,1,8
PI407859-1,1,10
PI407859-2,1,10
PI407864,1,8
PI407865,1,8
PI407866,1,8
PI407867C,1,9
PI407868C,3,9
PI407871,1,8
PI407872B,1,9
PI407874-1,1,10
PI407874-2,1,10
PI407876,2,8
PI407877C,3,9
PI407878,2,8
PI407879,1,8
PI407880,2,8
PI407881,2,8
PI407882,2,8
PI407884,2,8
PI407885,1,8
PI407887,1,8
PI407888,1,8
PI407889,1,8
PI407890-1,1,10
PI407890-2,1,10
PI407891,1,8
PI407892B,3,9
PI407893,1,8
PI407894,1,8
PI407896,1,8
PI407898B,2,9
PI407899,2,8
PI407901,1,8
PI407909,1,8
PI407910,1,8
PI407911,1,8
PI407912,1,8
PI407915,1,8
PI407916,1,8
PI407919,1,8
PI407920,1,8
PI407921,1,8
PI407923,1,8
PI407929,1,8
PI407930,3,8
PI407931,1,8
PI407935,1,8
PI407936,1,8
PI407937-2,1,10
PI407938,1,8
PI407940,1,8
PI407942,1,8
PI407943,1,8
PI407944,1,8
PI407945,1,8
PI407946-1,1,10
PI407948,1,8
PI407950-1,2,10
PI407950-2,2,10
PI407951,2,8
PI407953,1,8
PI407954,2,8
PI407955,2,8
PI407956,2,8
PI407957,2,8
PI407961-1,2,10
PI407961-2,1,10
PI407962-1,2,10
PI407962-2,1,10
PI407963,1,8
PI407964,1,8
PI407965,1,8
PI407966C,3,9
PI407967,1,8
PI407968,1,8
