acid,Fe32perc,
PI587720,0.093,8
PI587727,0.094,8
PI587731,0.034,8
PI587732,0.113,8
PI587733,0.114,8
PI587735,0.016,8
PI587737,0.126,8
PI587738,0.086,8
PI587740,0.015,8
PI587741,0.226,8
PI587743,0.098,8
PI587747,0.03,8
PI587748,0.026,8
PI587749,0.037,8
PI587750,0.027,8
PI587751,0.113,8
PI587754,0.079,8
PI587755,0.029,8
PI587756,0.103,8
PI587759,0.163,8
PI587760,0.08,8
PI587761,0.106,8
PI587762,0.142,8
PI587763,0.07,8
PI587764,0.041,8
PI587765,0.086,8
PI587766,0.026,8
PI587768,0.117,8
PI587769,0.041,8
PI587770,0.085,8
PI587774,0.107,8
PI587775,0.122,8
PI587776,0.129,8
PI587784,0.092,8
PI587791,0.143,8
PI587793,0.104,8
PI587794,0.107,8
PI587795,0.079,8
PI587797,0.103,8
PI587800,0.031,8
PI587801,0.083,8
PI587802,0.162,8
PI587807,0.041,8
PI587813,0.043,8
PI587816,0.098,8
PI587817,0.103,8
PI587818,0.123,8
PI587823,0.101,8
PI587824,0.095,8
PI587826,0.136,8
PI587827,0.018,8
